fid,id,Assets_Threats,Name,Ward,Subward,Subward_asset_id,asset_threat_category,Assets_per_ward_id,latitude,longitude,important_asset_at_risk_per_ward_ID,continued_from_asset_at_risk_id,Important_asset_not_at_risk_per_ward_ID,Evacuation_center_per_ward_ID,At_risk_but_not_important_ID
3478,4911,Important asset and not at risk,Hp guest House,Segerea,Segerea,,,,-6.845063569,39.19014203,,,37,,
3457,4912,Important asset and not at risk,Zion Christian Center Church,Segerea,Segerea,,,,-6.845117236,39.18678921,,,38,,
3484,4913,Important asset and not at risk,Brk Pub & guest House,Segerea,Segerea,,,,-6.845377929,39.19722772,,,39,,
3466,4914,Important asset and not at risk,Tabata General Hospital,Segerea,Segerea,,,,-6.845411238,39.19500004,,,40,,
3482,4915,Important asset and not at risk,Jumile guest House,Segerea,Segerea,,,,-6.845721207,39.19712698,,,41,,
3448,4916,Important asset and not at risk,East Karma Mosque,Segerea,Segerea,,,,-6.845811384,39.194255,,,42,,
3453,4917,Important asset and not at risk,Billionaire Church,Segerea,Segerea,,,,-6.845911005,39.18864962,,,43,,
3452,4918,Important asset and not at risk,Badiria Mosque,Segerea,Segerea,,,,-6.845933694,39.19004439,,,44,,
3456,4919,Important asset and not at risk,TAG Church,Segerea,Segerea,,,,-6.845989935,39.20290108,,,45,,
3446,4920,Important asset and not at risk,Ebenezer Church,Segerea,Segerea,,,,-6.846065922,39.19119394,,,46,,
3473,4921,Important asset and not at risk,Lumbering Small Industry,Segerea,Segerea,,,,-6.846293346,39.18779767,,,47,,
3483,4922,Important asset and not at risk,Casablanca guest House,Segerea,Segerea,,,,-6.846389106,39.19879486,,,48,,
3485,4923,Important asset and not at risk,Oil Com Petrol Station,Segerea,Segerea,,,,-6.846502909,39.18725091,,,49,,
3474,4924,Important asset and not at risk,Ibra Lumbering Workshoppe,Segerea,Segerea,,,,-6.846707835,39.18797908,,,50,,
3470,4925,Important asset and not at risk,Meracolo Hospital,Segerea,Segerea,,,,-6.846735298,39.20019426,,,51,,
3454,4926,Important asset and not at risk,Church Of Christ,Segerea,Segerea,,,,-6.847173324,39.2004143,,,52,,
3462,4927,Important asset and not at risk,Shalom Nursery School,Segerea,Segerea,,,,-6.848010975,39.19845878,,,53,,
3447,4928,Important asset and not at risk,Migomba Cemetery,Segerea,Segerea,,,,-6.848072468,39.19202697,,,54,,
3460,4929,Important asset and not at risk,Cemetery,Segerea,Segerea,,,,-6.849248012,39.1946918,,,55,,
3459,4930,Important asset and not at risk,Madiba Secondary School,Segerea,Segerea,,,,-6.84972819,39.19430378,,,56,,
3472,4931,Important asset and not at risk,Madiba Open Space,Segerea,Segerea,,,,-6.849990604,39.19357976,,,57,,
3449,4932,Important asset and not at risk,Azhar  Mosque,Segerea,Segerea,,,,-6.851049232,39.20030935,,,58,,
3496,4933,Important asset and not at risk,KKKT,Segerea,Ugombolwa,,,,-6.831455042,39.19667525,,,59,,
3493,4934,Important asset and not at risk,Rose Nursery School,Segerea,Ugombolwa,,,,-6.833141799,39.19387429,,,60,,
3495,4935,Important asset and not at risk,Uwata Christian Centre,Segerea,Ugombolwa,,,,-6.833164571,39.19693224,,,61,,
3498,4936,Important asset and not at risk,Subward Office,Segerea,Ugombolwa,,,,-6.833438966,39.19143937,,,62,,
3494,4937,Important asset and not at risk,Govinda Cement Block Manufacture,Segerea,Ugombolwa,,,,-6.833441088,39.19396863,,,63,,
3492,4938,Important asset and not at risk,Golden Nursery & Primary School,Segerea,Ugombolwa,,,,-6.834101477,39.19376693,,,64,,
3497,4939,Important asset and not at risk,Ab- Dhahiry Mosque,Segerea,Ugombolwa,,,,-6.83545316,39.1886481,,,65,,
3491,4940,Important asset and not at risk,TAG Church,Segerea,Ugombolwa,,,,-6.836346149,39.19277147,,,66,,
3490,4941,Important asset and not at risk,Catholic Center (Kituo Cha Matendo Makuu Ya Kristo,Segerea,Ugombolwa,,,,-6.836404705,39.19145069,,,67,,
3488,4942,Important asset and not at risk,Segerea Primary School,Segerea,Ugombolwa,,,,-6.836925209,39.19083259,,,68,,
3489,4943,Important asset and not at risk,Gypsum Industry,Segerea,Ugombolwa,,,,-6.837201726,39.19149298,,,69,,
4152,4944,Evacuation center,TBC House,Sinza,Sinza A,,,,-6.775983517,39.2230028,,23,,1,
4151,4945,Evacuation center,Mugabe Secondary School,Sinza,Sinza C,,,,-6.789673629,39.22024584,,24,,2,
4863,4946,Important asset and at risk,Edward Michaud Hospital,Sinza,Sinza A,,,,-6.772382831,39.22316411,1,,,,
4862,4947,Important asset and at risk,Don Bosco Nursery School,Sinza,Sinza A,,,,-6.772699691,39.22288758,2,,,,
4861,4948,Important asset and at risk,Catalunya Lounge,Sinza,Sinza A,,,,-6.772751541,39.2231065,3,,,,
4860,4949,Important asset and at risk,Prince Church,Sinza,Sinza A,,,,-6.773857672,39.22357315,4,,,,
4859,4950,Important asset and at risk,Meno Night Church,Sinza,Sinza A,,,,-6.773995938,39.22356162,5,,,,
